source_scope,source_table,source_row,model_alias,model_id,model_revision,suite_id,task_label,evaluation_id,dedup_key,metric,value,value_unit,embedding_recipe,protocol_variant,reference_url,source_locator,source_revision,source_sha256,inclusion_status,inclusion_reason
official_primary_paper,Table 2,Midnight-92k/392/PCam 10 shots,Midnight-92k/392,midnight-92k-392,Midnight-92k high-resolution post-training for 120k iterations; 392px,eva,PCam 10 shots,eva.miccai2025.clsmean_392.patch_camelyon_10shot.test,eva.leaderboard.patch_camelyon_10shot.test,balanced_accuracy,0.9,fraction,CLS + mean pooled patch tokens,MICCAI 2025 EVA fork; early stopping disabled except Camelyon16/PANDA; 392x392 input,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,4651_paper.pdf|Table 2|model=Midnight-92k/392|column=PCam 10 shots,MICCAI 2025 proceedings PDF; modified 2025-08-25,29dce4004f4f4c2e8f75cb5fc2c03c934d97e20099329bb9682901c647bc07cb,fine_tuned_excluded,The paper explicitly describes this checkpoint as high-resolution fine-tuning/post-training; quarantine from frozen base-checkpoint analysis.
official_primary_paper,Table 2,Midnight-92k/392/BACH,Midnight-92k/392,midnight-92k-392,Midnight-92k high-resolution post-training for 120k iterations; 392px,eva,BACH,eva.miccai2025.clsmean_392.bach.validation,eva.leaderboard.bach.validation,balanced_accuracy,0.904,fraction,CLS + mean pooled patch tokens,MICCAI 2025 EVA fork; early stopping disabled except Camelyon16/PANDA; 392x392 input,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,4651_paper.pdf|Table 2|model=Midnight-92k/392|column=BACH,MICCAI 2025 proceedings PDF; modified 2025-08-25,29dce4004f4f4c2e8f75cb5fc2c03c934d97e20099329bb9682901c647bc07cb,fine_tuned_excluded,The paper explicitly describes this checkpoint as high-resolution fine-tuning/post-training; quarantine from frozen base-checkpoint analysis.
official_primary_paper,Table 2,Midnight-92k/392/BRACS,Midnight-92k/392,midnight-92k-392,Midnight-92k high-resolution post-training for 120k iterations; 392px,eva,BRACS,eva.miccai2025.clsmean_392.bracs.validation,eva.leaderboard.bracs.validation,balanced_accuracy,0.646,fraction,CLS + mean pooled patch tokens,MICCAI 2025 EVA fork; early stopping disabled except Camelyon16/PANDA; 392x392 input,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,4651_paper.pdf|Table 2|model=Midnight-92k/392|column=BRACS,MICCAI 2025 proceedings PDF; modified 2025-08-25,29dce4004f4f4c2e8f75cb5fc2c03c934d97e20099329bb9682901c647bc07cb,fine_tuned_excluded,The paper explicitly describes this checkpoint as high-resolution fine-tuning/post-training; quarantine from frozen base-checkpoint analysis.
official_primary_paper,Table 2,Midnight-92k/392/BreakHis,Midnight-92k/392,midnight-92k-392,Midnight-92k high-resolution post-training for 120k iterations; 392px,eva,BreakHis,eva.miccai2025.clsmean_392.breakhis.validation,eva.leaderboard.breakhis.validation,balanced_accuracy,0.802,fraction,CLS + mean pooled patch tokens,MICCAI 2025 EVA fork; early stopping disabled except Camelyon16/PANDA; 392x392 input,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,4651_paper.pdf|Table 2|model=Midnight-92k/392|column=BreakHis,MICCAI 2025 proceedings PDF; modified 2025-08-25,29dce4004f4f4c2e8f75cb5fc2c03c934d97e20099329bb9682901c647bc07cb,fine_tuned_excluded,The paper explicitly describes this checkpoint as high-resolution fine-tuning/post-training; quarantine from frozen base-checkpoint analysis.
official_primary_paper,Table 2,Midnight-92k/392/CRC-100K,Midnight-92k/392,midnight-92k-392,Midnight-92k high-resolution post-training for 120k iterations; 392px,eva,CRC-100K,eva.miccai2025.clsmean_392.crc.validation,eva.leaderboard.crc.validation,balanced_accuracy,0.966,fraction,CLS + mean pooled patch tokens,MICCAI 2025 EVA fork; early stopping disabled except Camelyon16/PANDA; 392x392 input,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,4651_paper.pdf|Table 2|model=Midnight-92k/392|column=CRC-100K,MICCAI 2025 proceedings PDF; modified 2025-08-25,29dce4004f4f4c2e8f75cb5fc2c03c934d97e20099329bb9682901c647bc07cb,fine_tuned_excluded,The paper explicitly describes this checkpoint as high-resolution fine-tuning/post-training; quarantine from frozen base-checkpoint analysis.
official_primary_paper,Table 2,Midnight-92k/392/Gleason,Midnight-92k/392,midnight-92k-392,Midnight-92k high-resolution post-training for 120k iterations; 392px,eva,Gleason,eva.miccai2025.clsmean_392.gleason_arvaniti.validation,eva.leaderboard.gleason_arvaniti.validation,balanced_accuracy,0.807,fraction,CLS + mean pooled patch tokens,MICCAI 2025 EVA fork; early stopping disabled except Camelyon16/PANDA; 392x392 input,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,4651_paper.pdf|Table 2|model=Midnight-92k/392|column=Gleason,MICCAI 2025 proceedings PDF; modified 2025-08-25,29dce4004f4f4c2e8f75cb5fc2c03c934d97e20099329bb9682901c647bc07cb,fine_tuned_excluded,The paper explicitly describes this checkpoint as high-resolution fine-tuning/post-training; quarantine from frozen base-checkpoint analysis.
official_primary_paper,Table 2,Midnight-92k/392/MHIST,Midnight-92k/392,midnight-92k-392,Midnight-92k high-resolution post-training for 120k iterations; 392px,eva,MHIST,eva.miccai2025.clsmean_392.mhist.test,eva.leaderboard.mhist.test,balanced_accuracy,0.828,fraction,CLS + mean pooled patch tokens,MICCAI 2025 EVA fork; early stopping disabled except Camelyon16/PANDA; 392x392 input,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,4651_paper.pdf|Table 2|model=Midnight-92k/392|column=MHIST,MICCAI 2025 proceedings PDF; modified 2025-08-25,29dce4004f4f4c2e8f75cb5fc2c03c934d97e20099329bb9682901c647bc07cb,fine_tuned_excluded,The paper explicitly describes this checkpoint as high-resolution fine-tuning/post-training; quarantine from frozen base-checkpoint analysis.
official_primary_paper,Table 2,Midnight-92k/392/PCam,Midnight-92k/392,midnight-92k-392,Midnight-92k high-resolution post-training for 120k iterations; 392px,eva,PCam,eva.miccai2025.clsmean_392.patch_camelyon.test,eva.leaderboard.patch_camelyon.test,balanced_accuracy,0.951,fraction,CLS + mean pooled patch tokens,MICCAI 2025 EVA fork; early stopping disabled except Camelyon16/PANDA; 392x392 input,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,4651_paper.pdf|Table 2|model=Midnight-92k/392|column=PCam,MICCAI 2025 proceedings PDF; modified 2025-08-25,29dce4004f4f4c2e8f75cb5fc2c03c934d97e20099329bb9682901c647bc07cb,fine_tuned_excluded,The paper explicitly describes this checkpoint as high-resolution fine-tuning/post-training; quarantine from frozen base-checkpoint analysis.
official_primary_paper,Table 2,Midnight-92k/392/Cam16 (small),Midnight-92k/392,midnight-92k-392,Midnight-92k high-resolution post-training for 120k iterations; 392px,eva,Cam16 (small),eva.miccai2025.clsmean_392.camelyon16_small.test,eva.leaderboard.camelyon16_small.test,balanced_accuracy,0.868,fraction,CLS + mean pooled patch tokens,MICCAI 2025 EVA fork; early stopping disabled except Camelyon16/PANDA; 392x392 input,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,4651_paper.pdf|Table 2|model=Midnight-92k/392|column=Cam16 (small),MICCAI 2025 proceedings PDF; modified 2025-08-25,29dce4004f4f4c2e8f75cb5fc2c03c934d97e20099329bb9682901c647bc07cb,fine_tuned_excluded,The paper explicitly describes this checkpoint as high-resolution fine-tuning/post-training; quarantine from frozen base-checkpoint analysis.
official_primary_paper,Table 2,Midnight-92k/392/Panda (small),Midnight-92k/392,midnight-92k-392,Midnight-92k high-resolution post-training for 120k iterations; 392px,eva,Panda (small),eva.miccai2025.clsmean_392.panda_small.test,eva.leaderboard.panda_small.test,balanced_accuracy,0.651,fraction,CLS + mean pooled patch tokens,MICCAI 2025 EVA fork; early stopping disabled except Camelyon16/PANDA; 392x392 input,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,4651_paper.pdf|Table 2|model=Midnight-92k/392|column=Panda (small),MICCAI 2025 proceedings PDF; modified 2025-08-25,29dce4004f4f4c2e8f75cb5fc2c03c934d97e20099329bb9682901c647bc07cb,fine_tuned_excluded,The paper explicitly describes this checkpoint as high-resolution fine-tuning/post-training; quarantine from frozen base-checkpoint analysis.
official_primary_paper,Table 2,Midnight-92k/392/CoNSeP,Midnight-92k/392,midnight-92k-392,Midnight-92k high-resolution post-training for 120k iterations; 392px,eva,CoNSeP,eva.miccai2025.clsmean_392.consep.validation,eva.leaderboard.consep.validation,dice,0.662,fraction,CLS + mean pooled patch tokens,MICCAI 2025 EVA fork; early stopping disabled except Camelyon16/PANDA; 392x392 input,https://papers.miccai.org/miccai-2025/paper/4651_paper.pdf,4651_paper.pdf|Table 2|model=Midnight-92k/392|column=CoNSeP,MICCAI 2025 proceedings PDF; modified 2025-08-25,29dce4004f4f4c2e8f75cb5fc2c03c934d97e20099329bb9682901c647bc07cb,fine_tuned_excluded,The paper explicitly describes this checkpoint as high-resolution fine-tuning/post-training; quarantine from frozen base-checkpoint analysis.
