source_scope,source_table,source_row,model_alias,model_id,model_revision,suite_id,task_label,evaluation_id,dedup_key,metric,value,value_unit,uncertainty,level,magnification,embedding_recipe,downstream_protocol,cohort_access,reference_url,source_locator,source_revision,source_sha256,inclusion_status,inclusion_reason
official_primary_paper,Supplementary Data Table 1,CONCH/0/balanced_accuracy,CONCH,conch,CONCH v1 ViT-B/16 CoCa,conch_primary,"Supplementary Data Table 1: Zero-shot classification with prompt ensembling on BRCA subtyping (n = 150) in terms of balanced accuracy, weighted F1 score, and ROC AUC",conch.natmed2024.t1.0.zero-shot_classification.balanced_accuracy,"supplementary_data_table_1:_zero-shot_classification_with_prompt_ensembling_on_brca_subtyping_(n_=_150)_in_terms_of_balanced_accuracy,_weighted_f1_score,_and_roc_auc.balanced_accuracy",balanced_accuracy,0.913,fraction,"95% CI [0.866, 0.960]",tile,source-defined,CONCH image/text embedding,zero-shot classification; prompt ensemble,public,https://www.nature.com/articles/s41591-024-02856-4,Supplementary Information|Table 1|CONCH row,Nature Medicine 2024 supplementary PDF,4940cf23c1f341791fd16db84e6f22a83d90d1c67657c26cb118ad8fcbbef457,canonical_candidate,Public leaf result from the model's primary paper.
official_primary_paper,Supplementary Data Table 1,CONCH/0/weighted_f1,CONCH,conch,CONCH v1 ViT-B/16 CoCa,conch_primary,"Supplementary Data Table 1: Zero-shot classification with prompt ensembling on BRCA subtyping (n = 150) in terms of balanced accuracy, weighted F1 score, and ROC AUC",conch.natmed2024.t1.0.zero-shot_classification.weighted_f1,"supplementary_data_table_1:_zero-shot_classification_with_prompt_ensembling_on_brca_subtyping_(n_=_150)_in_terms_of_balanced_accuracy,_weighted_f1_score,_and_roc_auc.weighted_f1",weighted_f1,0.913,fraction,"95% CI [0.867, 0.960]",tile,source-defined,CONCH image/text embedding,zero-shot classification; prompt ensemble,public,https://www.nature.com/articles/s41591-024-02856-4,Supplementary Information|Table 1|CONCH row,Nature Medicine 2024 supplementary PDF,4940cf23c1f341791fd16db84e6f22a83d90d1c67657c26cb118ad8fcbbef457,canonical_candidate,Public leaf result from the model's primary paper.
official_primary_paper,Supplementary Data Table 1,CONCH/0/auroc,CONCH,conch,CONCH v1 ViT-B/16 CoCa,conch_primary,"Supplementary Data Table 1: Zero-shot classification with prompt ensembling on BRCA subtyping (n = 150) in terms of balanced accuracy, weighted F1 score, and ROC AUC",conch.natmed2024.t1.0.zero-shot_classification.auroc,"supplementary_data_table_1:_zero-shot_classification_with_prompt_ensembling_on_brca_subtyping_(n_=_150)_in_terms_of_balanced_accuracy,_weighted_f1_score,_and_roc_auc.auroc",auroc,0.943,fraction,"95% CI [0.897, 0.979]",tile,source-defined,CONCH image/text embedding,zero-shot classification; prompt ensemble,public,https://www.nature.com/articles/s41591-024-02856-4,Supplementary Information|Table 1|CONCH row,Nature Medicine 2024 supplementary PDF,4940cf23c1f341791fd16db84e6f22a83d90d1c67657c26cb118ad8fcbbef457,canonical_candidate,Public leaf result from the model's primary paper.
official_primary_paper,Supplementary Data Table 2,CONCH/0/balanced_accuracy,CONCH,conch,CONCH v1 ViT-B/16 CoCa,conch_primary,"Supplementary Data Table 2: Zero-shot classification with prompt ensembling on RCC subtyping (n = 225) in terms of balanced accuracy, weighted F1 score, and ROC AUC",conch.natmed2024.t2.0.zero-shot_classification.balanced_accuracy,"supplementary_data_table_2:_zero-shot_classification_with_prompt_ensembling_on_rcc_subtyping_(n_=_225)_in_terms_of_balanced_accuracy,_weighted_f1_score,_and_roc_auc.balanced_accuracy",balanced_accuracy,0.902,fraction,"95% CI [0.860, 0.938]",tile,source-defined,CONCH image/text embedding,zero-shot classification; prompt ensemble,public,https://www.nature.com/articles/s41591-024-02856-4,Supplementary Information|Table 2|CONCH row,Nature Medicine 2024 supplementary PDF,4940cf23c1f341791fd16db84e6f22a83d90d1c67657c26cb118ad8fcbbef457,canonical_candidate,Public leaf result from the model's primary paper.
official_primary_paper,Supplementary Data Table 2,CONCH/0/weighted_f1,CONCH,conch,CONCH v1 ViT-B/16 CoCa,conch_primary,"Supplementary Data Table 2: Zero-shot classification with prompt ensembling on RCC subtyping (n = 225) in terms of balanced accuracy, weighted F1 score, and ROC AUC",conch.natmed2024.t2.0.zero-shot_classification.weighted_f1,"supplementary_data_table_2:_zero-shot_classification_with_prompt_ensembling_on_rcc_subtyping_(n_=_225)_in_terms_of_balanced_accuracy,_weighted_f1_score,_and_roc_auc.weighted_f1",weighted_f1,0.903,fraction,"95% CI [0.863, 0.938]",tile,source-defined,CONCH image/text embedding,zero-shot classification; prompt ensemble,public,https://www.nature.com/articles/s41591-024-02856-4,Supplementary Information|Table 2|CONCH row,Nature Medicine 2024 supplementary PDF,4940cf23c1f341791fd16db84e6f22a83d90d1c67657c26cb118ad8fcbbef457,canonical_candidate,Public leaf result from the model's primary paper.
official_primary_paper,Supplementary Data Table 2,CONCH/0/auroc,CONCH,conch,CONCH v1 ViT-B/16 CoCa,conch_primary,"Supplementary Data Table 2: Zero-shot classification with prompt ensembling on RCC subtyping (n = 225) in terms of balanced accuracy, weighted F1 score, and ROC AUC",conch.natmed2024.t2.0.zero-shot_classification.auroc,"supplementary_data_table_2:_zero-shot_classification_with_prompt_ensembling_on_rcc_subtyping_(n_=_225)_in_terms_of_balanced_accuracy,_weighted_f1_score,_and_roc_auc.auroc",auroc,0.975,fraction,"95% CI [0.955, 0.992]",tile,source-defined,CONCH image/text embedding,zero-shot classification; prompt ensemble,public,https://www.nature.com/articles/s41591-024-02856-4,Supplementary Information|Table 2|CONCH row,Nature Medicine 2024 supplementary PDF,4940cf23c1f341791fd16db84e6f22a83d90d1c67657c26cb118ad8fcbbef457,canonical_candidate,Public leaf result from the model's primary paper.
official_primary_paper,Supplementary Data Table 3,CONCH/0/balanced_accuracy,CONCH,conch,CONCH v1 ViT-B/16 CoCa,conch_primary,"Supplementary Data Table 3: Zero-shot classification with prompt ensembling on NSCLC subtyping (n = 150) in terms of balanced accuracy, weighted F1 score, and ROC AUC",conch.natmed2024.t3.0.zero-shot_classification.balanced_accuracy,"supplementary_data_table_3:_zero-shot_classification_with_prompt_ensembling_on_nsclc_subtyping_(n_=_150)_in_terms_of_balanced_accuracy,_weighted_f1_score,_and_roc_auc.balanced_accuracy",balanced_accuracy,0.907,fraction,"95% CI [0.859, 0.948]",tile,source-defined,CONCH image/text embedding,zero-shot classification; prompt ensemble,public,https://www.nature.com/articles/s41591-024-02856-4,Supplementary Information|Table 3|CONCH row,Nature Medicine 2024 supplementary PDF,4940cf23c1f341791fd16db84e6f22a83d90d1c67657c26cb118ad8fcbbef457,canonical_candidate,Public leaf result from the model's primary paper.
official_primary_paper,Supplementary Data Table 3,CONCH/0/weighted_f1,CONCH,conch,CONCH v1 ViT-B/16 CoCa,conch_primary,"Supplementary Data Table 3: Zero-shot classification with prompt ensembling on NSCLC subtyping (n = 150) in terms of balanced accuracy, weighted F1 score, and ROC AUC",conch.natmed2024.t3.0.zero-shot_classification.weighted_f1,"supplementary_data_table_3:_zero-shot_classification_with_prompt_ensembling_on_nsclc_subtyping_(n_=_150)_in_terms_of_balanced_accuracy,_weighted_f1_score,_and_roc_auc.weighted_f1",weighted_f1,0.907,fraction,"95% CI [0.860, 0.947]",tile,source-defined,CONCH image/text embedding,zero-shot classification; prompt ensemble,public,https://www.nature.com/articles/s41591-024-02856-4,Supplementary Information|Table 3|CONCH row,Nature Medicine 2024 supplementary PDF,4940cf23c1f341791fd16db84e6f22a83d90d1c67657c26cb118ad8fcbbef457,canonical_candidate,Public leaf result from the model's primary paper.
official_primary_paper,Supplementary Data Table 3,CONCH/0/auroc,CONCH,conch,CONCH v1 ViT-B/16 CoCa,conch_primary,"Supplementary Data Table 3: Zero-shot classification with prompt ensembling on NSCLC subtyping (n = 150) in terms of balanced accuracy, weighted F1 score, and ROC AUC",conch.natmed2024.t3.0.zero-shot_classification.auroc,"supplementary_data_table_3:_zero-shot_classification_with_prompt_ensembling_on_nsclc_subtyping_(n_=_150)_in_terms_of_balanced_accuracy,_weighted_f1_score,_and_roc_auc.auroc",auroc,0.962,fraction,"95% CI [0.933, 0.984]",tile,source-defined,CONCH image/text embedding,zero-shot classification; prompt ensemble,public,https://www.nature.com/articles/s41591-024-02856-4,Supplementary Information|Table 3|CONCH row,Nature Medicine 2024 supplementary PDF,4940cf23c1f341791fd16db84e6f22a83d90d1c67657c26cb118ad8fcbbef457,canonical_candidate,Public leaf result from the model's primary paper.
official_primary_paper,Supplementary Data Table 4,CONCH/0/cohen_kappa,CONCH,conch,CONCH v1 ViT-B/16 CoCa,conch_primary,"Supplementary Data Table 4: Zero-shot classification with prompt ensembling on DHMC LUAD (n = 143) in terms of Cohen’s κ, balanced accuracy, and weighted F1 score",conch.natmed2024.t4.0.zero-shot_classification.cohen_kappa,"supplementary_data_table_4:_zero-shot_classification_with_prompt_ensembling_on_dhmc_luad_(n_=_143)_in_terms_of_cohen’s_κ,_balanced_accuracy,_and_weighted_f1_score.cohen_kappa",cohen_kappa,0.200,fraction,"95% CI [0.128, 0.277]",tile,source-defined,CONCH image/text embedding,zero-shot classification; prompt ensemble,public,https://www.nature.com/articles/s41591-024-02856-4,Supplementary Information|Table 4|CONCH row,Nature Medicine 2024 supplementary PDF,4940cf23c1f341791fd16db84e6f22a83d90d1c67657c26cb118ad8fcbbef457,canonical_candidate,Public leaf result from the model's primary paper.
