evidence_id,source,source_locator,dataset_access,model_component,downstream_component,protocol,exact_numeric_result,eligible_public_leaf,exclusion_reason,reference_url,pinned_revision,notes
nature_supp_fig4,Nature supplement,Supplementary Figure 4,public_tcga_luad,Prov-GigaPath DINOv2 tile encoder,LongNet slide encoder plus task head,tile-pretraining-method ablation; ten-run WSI mutation prediction,graphical_bars_without_exact_labels,no,not_tile_encoder_only_and_no_exact_numeric_table,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-024-07441-w/MediaObjects/41586_2024_7441_MOESM1_ESM.pdf,sha256:b8279191eb635a60edd51621eab931f04d8d75b7af291794d8b91b58f73b866b,"Public TCGA evaluation, but the changed tile pretraining is assessed through the full task-trained WSI stack."
nature_extended_fig6,Nature main article,Extended Data Figure 6,public_tcga_luad,GigaPath tile plus LongNet encoders pretrained on Prov-Path or TCGA,task-trained LongNet/ABMIL/classifier,pretraining-corpus ablation; ten-run WSI mutation prediction,graphical_bars_without_exact_labels,no,whole_slide_ablation_not_tile_only,https://www.nature.com/articles/s41586-024-07441-w,sha256:52eda6b291c49c85274f034462e3e0d168d8bca505d845bed648fabae4192b76,Cannot attribute the plotted result to the tile encoder independently of slide pretraining and downstream training.
nature_extended_fig7,Nature main article,Extended Data Figure 7,mixed_public_tcga_and_private_providence,Prov-GigaPath tile encoder,GigaPath LongNet versus HIPT hierarchy plus task heads,whole-slide architecture comparison on mutation tasks,graphical_bars_without_exact_labels,no,whole_slide_architecture_comparison,https://www.nature.com/articles/s41586-024-07441-w,sha256:52eda6b291c49c85274f034462e3e0d168d8bca505d845bed648fabae4192b76,Architecture comparison is not a frozen tile-feature benchmark.
nature_extended_fig8,Nature main article,Extended Data Figure 8,private_providence,Prov-GigaPath tile encoder,GigaPath LongNet versus HIPT hierarchy plus task heads,whole-slide cancer-subtyping comparison,graphical_bars_without_exact_labels,no,private_and_whole_slide_architecture_comparison,https://www.nature.com/articles/s41586-024-07441-w,sha256:52eda6b291c49c85274f034462e3e0d168d8bca505d845bed648fabae4192b76,All evaluated subtyping cohorts in this figure are Providence cohorts.
nature_supp_fig5,Nature supplement,Supplementary Figure 5,private_providence,frozen Prov-GigaPath tile encoder,pretrained/frozen/random LongNet or external ABMIL plus classifier,slide-component ablation on cancer subtyping,graphical_bars_without_exact_labels,no,private_slide_component_ablation,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-024-07441-w/MediaObjects/41586_2024_7441_MOESM1_ESM.pdf,sha256:b8279191eb635a60edd51621eab931f04d8d75b7af291794d8b91b58f73b866b,Ablates LongNet and ABMIL; it does not report an isolated tile-encoder score.
nature_supp_table2_tcga,Nature supplement,Supplementary Table 2; five TCGA-LUAD rows,public_tcga_luad,frozen Prov-GigaPath tile encoder,task-specifically fine-tuned LongNet slide encoder plus ABMIL/classifier,ten-fold WSI mutation prediction,five_exact_auroc_means_with_standard_errors,no,task_specific_slide_encoder_finetuning,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-024-07441-w/MediaObjects/41586_2024_7441_MOESM1_ESM.pdf,sha256:b8279191eb635a60edd51621eab931f04d8d75b7af291794d8b91b58f73b866b,"Exact cells are already retained in the Group C quarantine ledger, not assigned to the tile encoder."
repo_pcam_example,Official GitHub repository,README Fine-tuning / Tile-Level Linear Probing Example,public_pcam,frozen Prov-GigaPath tile encoder,linear classifier,runnable tile-level linear-probe example,none_published,no,runnable_example_without_reference_result,https://github.com/prov-gigapath/prov-gigapath,git:92d8d20430f9645675db01c5f55e95ad58538526,The repository provides code and embeddings but no checked-in result or expected score.
repo_linear_probe,Official GitHub repository,linear_probe/main.py and scripts/run_pcam.sh,public_pcam,frozen Prov-GigaPath tile encoder,linear classifier,"code computes weighted F1, macro precision/recall, AUROC and AUPRC",none_checked_in,no,result_producer_without_reported_result,https://github.com/prov-gigapath/prov-gigapath,git:92d8d20430f9645675db01c5f55e95ad58538526,Runtime results.txt is locally generated; no official output artifact is committed.
hf_model_card_pcam,Official Hugging Face model card,Fine-tuning / Tile-Level Linear Probing Example,public_pcam,frozen Prov-GigaPath tile encoder,linear classifier,runnable PCam example,none_published,no,model_card_without_reference_result,https://huggingface.co/prov-gigapath/prov-gigapath,hf:0dd9f5561e6b98d27c1d7a919c252d75c2eb66cb,The current gated card points to the official repository and embedding dataset but supplies no score table.
hf_embeddings_pcam,Official Hugging Face dataset,GigaPath_PCam_embeddings.zip,public_pcam,frozen Prov-GigaPath tile embeddings,none,pre-extracted feature artifact,none_published,no,features_without_labels_or_reference_result,https://huggingface.co/datasets/prov-gigapath/prov-gigapath-tile-embeddings,hf:0c5eebef6041f990eb04e1f6f9d835958b0b941f,A 2.33 GB feature archive is provided; the dataset has no result card or score artifact.
repo_panda_example,Official GitHub repository,README and scripts/run_panda.sh,public_panda,Prov-GigaPath tile encoder,LongNet slide encoder plus task head,runnable slide-level fine-tuning example,none_published,no,whole_slide_example_without_reference_result,https://github.com/prov-gigapath/prov-gigapath,git:92d8d20430f9645675db01c5f55e95ad58538526,PANDA is not a tile-only evaluation and no official reference score is checked in.
