evaluation_id,suite_id,dataset_id,task_name,task_family,target,sample_unit,task_type,num_samples,endpoint,metric,direction,protocol,reference_url,audit_status,observed_models
eva.leaderboard.bach.validation,eva,bach,bach classification,classification,BACH four-class histology label,image,classification,not_reported,leaderboard_validation_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=validation; reported metric=balanced_accuracy; mean over 5 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/bach.yaml,parsed_primary_source,19
eva.leaderboard.bracs.validation,eva,bracs,bracs classification,classification,BRACS seven-class lesion label,image,classification,not_reported,leaderboard_validation_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=validation; reported metric=balanced_accuracy; mean over 5 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/bracs.yaml,parsed_primary_source,15
eva.leaderboard.breakhis.validation,eva,breakhis,breakhis classification,classification,BreakHis selected four-class subtype label,image,classification,not_reported,leaderboard_validation_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=validation; reported metric=balanced_accuracy; mean over 5 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/breakhis.yaml,parsed_primary_source,19
eva.leaderboard.camelyon16_small.test,eva,camelyon16_small,camelyon16_small classification,classification,camelyon16_small classification target,slide,classification,not_reported,leaderboard_test_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=test; reported metric=balanced_accuracy; mean over 20 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/camelyon16_small.yaml,parsed_primary_source,19
eva.leaderboard.camelyon16_small.validation,eva,camelyon16_small,camelyon16_small classification,classification,camelyon16_small classification target,slide,classification,not_reported,leaderboard_validation_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=validation; reported metric=balanced_accuracy; mean over 20 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/camelyon16_small.yaml,parsed_primary_source,15
eva.leaderboard.consep.validation,eva,consep,consep segmentation,segmentation,consep segmentation target,image,segmentation,not_reported,leaderboard_validation_segmentation,dice,higher,EVA pathology leaderboard; reported split=validation; reported metric=dice; mean over 5 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/segmentation/consep.yaml,parsed_primary_source,19
eva.leaderboard.crc.validation,eva,crc,crc classification,classification,CRC-100K nine-class tissue label,image,classification,not_reported,leaderboard_validation_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=validation; reported metric=balanced_accuracy; mean over 5 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/crc.yaml,parsed_primary_source,19
eva.leaderboard.gleason_arvaniti.validation,eva,gleason_arvaniti,gleason_arvaniti classification,classification,gleason_arvaniti classification target,image,classification,not_reported,leaderboard_validation_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=validation; reported metric=balanced_accuracy; mean over 5 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/gleason_arvaniti.yaml,parsed_primary_source,19
eva.leaderboard.mhist.test,eva,mhist,mhist classification,classification,MHIST hyperplastic-polyp versus sessile-serrated-adenoma label,image,classification,not_reported,leaderboard_test_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=test; reported metric=balanced_accuracy; mean over 5 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/mhist.yaml,parsed_primary_source,19
eva.leaderboard.monusac.test,eva,monusac,monusac segmentation,segmentation,monusac segmentation target,image,segmentation,not_reported,leaderboard_test_segmentation,dice,higher,EVA pathology leaderboard; reported split=test; reported metric=dice; mean over 5 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/segmentation/monusac.yaml,parsed_primary_source,19
eva.leaderboard.panda_small.test,eva,panda_small,panda_small classification,classification,panda_small classification target,slide,classification,not_reported,leaderboard_test_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=test; reported metric=balanced_accuracy; mean over 20 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/panda_small.yaml,parsed_primary_source,19
eva.leaderboard.panda_small.validation,eva,panda_small,panda_small classification,classification,panda_small classification target,slide,classification,not_reported,leaderboard_validation_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=validation; reported metric=balanced_accuracy; mean over 20 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/panda_small.yaml,parsed_primary_source,15
eva.leaderboard.patch_camelyon.test,eva,patch_camelyon,patch_camelyon classification,classification,PatchCamelyon binary metastatic-tissue label,image,classification,not_reported,leaderboard_test_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=test; reported metric=balanced_accuracy; mean over 5 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/patch_camelyon.yaml,parsed_primary_source,19
eva.leaderboard.patch_camelyon.validation,eva,patch_camelyon,patch_camelyon classification,classification,PatchCamelyon binary metastatic-tissue label,image,classification,not_reported,leaderboard_validation_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=validation; reported metric=balanced_accuracy; mean over 5 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/patch_camelyon.yaml,parsed_primary_source,15
eva.leaderboard.patch_camelyon_10shot.test,eva,patch_camelyon,patch_camelyon classification,classification,PatchCamelyon binary metastatic-tissue label,image,classification,not_reported,leaderboard_test_classification,balanced_accuracy,higher,EVA pathology leaderboard; reported split=test; reported metric=balanced_accuracy; mean over 5 runs. Config monitor metrics are checkpoint-selection metadata and are not substituted for the documented leaderboard metric.,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/patch_camelyon_10shot.yaml,parsed_primary_source,15
hest.ccrcc.gene_expression,hest,ccrcc,CCRCC morphology-to-gene-expression,spatial_transcriptomics,expression of 50 highly variable genes,spatial_transcriptomics_spot,regression,not_reported,ridge_gene_expression_prediction,pearson_r,higher,Predict 50 highly variable genes from 112x112 um morphology regions at 0.5 um/px using ridge regression after PCA to 256 factors.,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,26
hest.coad.gene_expression,hest,coad,COAD morphology-to-gene-expression,spatial_transcriptomics,expression of 50 highly variable genes,spatial_transcriptomics_spot,regression,not_reported,ridge_gene_expression_prediction,pearson_r,higher,Predict 50 highly variable genes from 112x112 um morphology regions at 0.5 um/px using ridge regression after PCA to 256 factors.,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,26
