suite_id,name,scope,task_count,reference_url,protocol,audit_notes
pathobench,Patho-Bench,pathology foundation-model evaluation,217,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/tree/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387,95 public WSI task identities plus 80 EXAONE-2025 and 42 THREADS-2025 explicitly versioned result protocols.,Inventory generated from a pinned upstream source snapshot; see provenance.json.
eva,EVA,pathology foundation-model evaluation,60,https://github.com/kaiko-ai/eva/tree/e43e74a99b75660b0014f790f25a33dd9f11e121,Canonical offline/leaderboard protocols plus exact Midnight CLS+Mean and OpenMidnight CLS-only report variants.,Inventory generated from a pinned upstream source snapshot; see provenance.json.
thunder,THUNDER,pathology foundation-model evaluation,33,https://github.com/MICS-Lab/thunder/tree/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f,Code-backed dataset configs plus exact GenBio-PathFM frozen kNN/F1 report variants.,Inventory generated from a pinned upstream source snapshot; see provenance.json.
hest,HEST-Benchmark,pathology foundation-model evaluation,45,https://github.com/mahmoodlab/HEST/tree/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3,PCA-256 plus ridge regression morphology-to-gene-expression benchmark; Pearson r.,Inventory generated from a pinned upstream source snapshot; see provenance.json.
pathorob,PathoROB,pathology foundation-model evaluation,26,https://github.com/bifold-pathomics/PathoROB/tree/6583cf0b0d902c8cc032308262fa3a3befdc0687,Generic/Nature protocols plus GenBio-PathFM dataset-specific balanced-accuracy and raw-only APD-ID/APD-OOD variants.,Inventory generated from a pinned upstream source snapshot; see provenance.json.
plism,PLISM robustness benchmark,pathology foundation-model evaluation,10,https://github.com/owkin/plism-benchmark/tree/5ec9511893af993f6faa099f093d1924b291aed2,Six H0-mini-paper context-specific protocols plus four refreshed official-repository leaderboard protocols; versions remain distinct.,Inventory generated from a pinned upstream source snapshot; see provenance.json.
uni2_benchmark,Official UNI 2 benchmark report,pathology foundation-model evaluation,6,https://github.com/mahmoodlab/UNI/tree/42715efc11722a496e0a67f3369505a8f277206c,Six public leaf benchmark cells from the official UNI repository; raw-registry-only because the source does not name endpoint-specific metrics.,Inventory generated from a pinned upstream source snapshot; see provenance.json.
virchow2g_paper,Virchow2G primary-paper benchmarks,pathology foundation-model evaluation,36,https://arxiv.org/abs/2408.00738,"Official Virchow2-family Tables 2-3; Virchow2G, Virchow2 and Virchow comparator cells preserve CLS/CLS+Mean linear probes and random-forest HEST.",Inventory generated from a pinned upstream source snapshot; see provenance.json.
titan_paper,TITAN primary-paper benchmarks,pathology foundation-model evaluation,333,https://www.nature.com/articles/s41591-025-03982-3,"Official TITAN/TITAN-V public morphology, grading, molecular, survival, full/few/zero-shot, slide-retrieval, and cross-modal retrieval protocols remain separate.",Inventory generated from a pinned upstream source snapshot; see provenance.json.
hoptimus1_report,H-optimus-1 official benchmark report,pathology foundation-model evaluation,10,https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1,"First-party Bioptimus frozen-feature report; six clearly public slide cohorts and four public tile tasks, with nonpublic/access-ambiguous cohorts quarantined.",Inventory generated from a pinned upstream source snapshot; see provenance.json.
virchow2_paper,Virchow2 primary-paper benchmarks,pathology foundation-model evaluation,18,https://arxiv.org/abs/2408.00738,Virchow2 primary-paper public tile linear probes and HCC spatial-transcriptomics protocols; CLS-only and CLS+Mean remain distinct.,Inventory generated from a pinned upstream source snapshot; see provenance.json.
virchow_paper,Virchow primary-paper benchmarks,pathology foundation-model evaluation,15,https://arxiv.org/abs/2309.07778,"Virchow primary-paper public frozen CLS+Mean tile linear probes; accuracy, balanced accuracy, and weighted F1 remain distinct protocols.",Inventory generated from a pinned upstream source snapshot; see provenance.json.
uni_paper,UNI primary-paper benchmarks,pathology foundation-model evaluation,227,https://arxiv.org/abs/2308.15474,"Exhaustive UNI primary-paper public frozen-feature leaves: patch linear/KNN/retrieval, slide ABMIL, and MI-SimpleShot; resolution, stain-normalization, cohort, K, and metric variants remain distinct.",Inventory generated from a pinned upstream source snapshot; see provenance.json.
conch_primary,CONCH primary-paper benchmarks,pathology foundation-model evaluation,77,https://www.nature.com/articles/s41591-024-02856-4,"CONCH v1 public primary-paper zero-shot, frozen supervised, retrieval, and segmentation leaves; prompt/probe variants remain distinct.",Inventory generated from a pinned upstream source snapshot; see provenance.json.
