evaluation_id,suite_id,dataset_id,sample_count_status,sample_count_value,sample_unit,access,label_artifact,acquisition_scale_status,acquisition_scale_value,stain_status,stain,compute_configuration,hardware_model_status,observed_runtime_status,annotation_hours_status,dollar_cost_status,software_license,dataset_license_status,dataset_license,pre_error_feasibility_tier,pre_error_feasibility_basis,numeric_cost_curve_eligible,task_source_url
eva.leaderboard.bach.validation,eva,bach,not_reported,null,image,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_steps"": 12500, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 5, ""train_batch_size"": 256}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,reported,CC-BY-NC-ND-4.0,tier_2_direct_labeled,image_or_patch + classification,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/bach.yaml
eva.leaderboard.bracs.validation,eva,bracs,not_reported,null,image,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_steps"": 12500, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 5, ""train_batch_size"": 256}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,not_reported,,tier_2_direct_labeled,image_or_patch + classification,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/bracs.yaml
eva.leaderboard.breakhis.validation,eva,breakhis,not_reported,null,image,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_steps"": 12500, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 5, ""train_batch_size"": 256}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,not_reported,,tier_2_direct_labeled,image_or_patch + classification,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/breakhis.yaml
eva.leaderboard.camelyon16_small.test,eva,camelyon16_small,not_reported,null,slide,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_epochs"": 100, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 20, ""train_batch_size"": 32}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/camelyon16_small.yaml
eva.leaderboard.camelyon16_small.validation,eva,camelyon16_small,not_reported,null,slide,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_epochs"": 100, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 20, ""train_batch_size"": 32}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/camelyon16_small.yaml
eva.leaderboard.consep.validation,eva,consep,not_reported,null,image,download disabled by default in the pinned task configuration,existing spatial mask or instance annotation,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_steps"": 2000, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 5, ""train_batch_size"": 64}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,not_reported,,tier_4_specialized_protocol,"segmentation, spatial regression, robustness, or other specialized protocol",false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/segmentation/consep.yaml
eva.leaderboard.crc.validation,eva,crc,not_reported,null,image,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_steps"": 12500, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 5, ""train_batch_size"": 256}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,not_reported,,tier_2_direct_labeled,image_or_patch + classification,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/crc.yaml
eva.leaderboard.gleason_arvaniti.validation,eva,gleason_arvaniti,not_reported,null,image,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_steps"": 12500, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 5, ""train_batch_size"": 256}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,not_reported,,tier_2_direct_labeled,image_or_patch + classification,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/gleason_arvaniti.yaml
eva.leaderboard.mhist.test,eva,mhist,not_reported,null,image,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_steps"": 12500, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 5, ""train_batch_size"": 256}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,not_reported,,tier_2_direct_labeled,image_or_patch + classification,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/mhist.yaml
eva.leaderboard.monusac.test,eva,monusac,not_reported,null,image,download disabled by default in the pinned task configuration,existing spatial mask or instance annotation,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_steps"": 2000, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 5, ""train_batch_size"": 64}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,reported,CC-BY-NC-SA-4.0,tier_4_specialized_protocol,"segmentation, spatial regression, robustness, or other specialized protocol",false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/segmentation/monusac.yaml
