model_id,release_date,verification_status,date_basis,is_proxy,primary_source_url,source_title,audit_notes
atlas,2025-01-09,verified,paper_first_public,false,https://arxiv.org/abs/2501.05409,Atlas: A Novel Pathology Foundation Model by Mayo Clinic Charite and Aignostics,Exact Atlas model named in first arXiv version.
chief-patch-mean,2024-09-04,verified,paper_publication,false,https://www.nature.com/articles/s41586-024-07894-z,A pathology foundation model for cancer diagnosis and prognosis prediction,CHIEF tile encoder component described in the primary paper; publication date is used because no earlier official public artifact was verified.
chief-slide,2024-09-04,verified,paper_publication,false,https://www.nature.com/articles/s41586-024-07894-z,A pathology foundation model for cancer diagnosis and prognosis prediction,CHIEF slide model described in the primary paper; publication date is used because no earlier official public artifact was verified.
ciga,2020-11-27,verified,paper_first_public,false,https://arxiv.org/abs/2011.13971,Self supervised contrastive learning for digital histopathology,Exact Ciga pathology checkpoint family is linked by the paper to the authors' public repository.
clip-b,2021-02-26,verified,paper_first_public,true,https://arxiv.org/abs/2103.00020,Learning Transferable Visual Models From Natural Language Supervision,Proxy: suite alias does not pin an OpenAI checkpoint revision beyond CLIP-B.
clip-l,2021-02-26,verified,paper_first_public,true,https://arxiv.org/abs/2103.00020,Learning Transferable Visual Models From Natural Language Supervision,Proxy: suite alias does not pin an OpenAI checkpoint revision beyond CLIP-L.
conch,2023-07-24,verified,paper_first_public,false,https://arxiv.org/abs/2307.12914,A visual-language foundation model for computational pathology,Exact CONCH model appears in the first arXiv version.
conch-1.5,2024-11-29,verified,paper_first_public,false,https://arxiv.org/abs/2411.19666,Multimodal Whole Slide Foundation Model for Pathology,CONCH v1.5 is the exact TITAN patch encoder described in the first arXiv version.
ctranspath,2021-06-04,verified,paper_first_public,false,https://arxiv.org/abs/2106.02605,Transformer-based unsupervised contrastive learning for histopathological image classification,Exact CTransPath model appears in the first arXiv version.
dinov2-b,2023-04-14,verified,paper_first_public,true,https://arxiv.org/abs/2304.07193,DINOv2: Learning Robust Visual Features without Supervision,Proxy: suite alias does not pin an exact checkpoint revision.
dinov2-l,2023-04-14,verified,paper_first_public,true,https://arxiv.org/abs/2304.07193,DINOv2: Learning Robust Visual Features without Supervision,Proxy: suite alias does not pin an exact checkpoint revision.
dinov2-vit-g-14-initial,2023-04-14,verified,paper_first_public,true,https://arxiv.org/abs/2304.07193,DINOv2: Learning Robust Visual Features without Supervision,Proxy: EVA's initial checkpoint label is not tied to a separately dated official artifact.
dinov2-vit-g-14-natural-images,2023-04-14,verified,paper_first_public,true,https://arxiv.org/abs/2304.07193,DINOv2: Learning Robust Visual Features without Supervision,Proxy: EVA's natural-image initialization label is not tied to a separately dated official artifact.
dinov3-b,2025-08-13,verified,paper_first_public,true,https://arxiv.org/abs/2508.10104,DINOv3,Proxy: THUNDER alias does not pin an exact checkpoint revision.
dinov3-l,2025-08-13,verified,paper_first_public,true,https://arxiv.org/abs/2508.10104,DINOv3,Proxy: THUNDER alias does not pin an exact checkpoint revision.
dinov3-s,2025-08-13,verified,paper_first_public,true,https://arxiv.org/abs/2508.10104,DINOv3,Proxy: THUNDER alias does not pin an exact checkpoint revision.
exaone-path-2.5-slide,2025-12-16,verified,paper_first_public,false,https://arxiv.org/abs/2512.14019,EXAONEPath 2.5,Exact slide model appears in the first arXiv version.
genbio-pathfm,2026-03-17,verified,official_technical_report,false,https://genbio.ai/genbio-pathfm/,GenBio-PathFM: A State-of-the-Art Foundation Model for Histopathology,Official release report publication date.
