"source_id","source_revision","source_sha256","source_locator","model_alias","model_id","suite_id","evaluation_id","base_evaluation_id","dataset_id","task_name","task_family","target","sample_unit","task_type","endpoint","metric","direction","value","uncertainty","protocol","reference_url","disposition","disposition_reason"
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=UNI2-h|column=BACH","UNI2-h","uni2-h","eva","eva.h0mini2025.bach","eva.bach","bach","BACH EVA classification/segmentation","classification","BACH class label","image","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.914","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=UNI2-h|column=CRC","UNI2-h","uni2-h","eva","eva.h0mini2025.crc","eva.crc","crc","CRC EVA classification/segmentation","classification","CRC class label","image","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.965","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=UNI2-h|column=MHIST","UNI2-h","uni2-h","eva","eva.h0mini2025.mhist","eva.mhist","mhist","MHIST EVA classification/segmentation","classification","MHIST class label","image","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.820","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=UNI2-h|column=PCam","UNI2-h","uni2-h","eva","eva.h0mini2025.patch_camelyon","eva.patch_camelyon","patch_camelyon","PCam EVA classification/segmentation","classification","PCam class label","image","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.949","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=UNI2-h|column=Cam16","UNI2-h","uni2-h","eva","eva.h0mini2025.camelyon16","eva.camelyon16","camelyon16","Cam16 EVA classification/segmentation","classification","Cam16 class label","slide","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.855","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=UNI2-h|column=PANDA","UNI2-h","uni2-h","eva","eva.h0mini2025.panda","eva.panda","panda","PANDA EVA classification/segmentation","classification","PANDA class label","slide","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.672","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=UNI2-h|column=CoNSeP","UNI2-h","uni2-h","eva","eva.h0mini2025.consep","eva.consep","consep","CoNSeP EVA classification/segmentation","segmentation","CoNSeP segmentation mask","image","segmentation","h0mini2025_eva_cls_token","dice","higher","0.632","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=UNI2-h|column=MoNuSAC","UNI2-h","uni2-h","eva","eva.h0mini2025.monusac","eva.monusac","monusac","MoNuSAC EVA classification/segmentation","segmentation","MoNuSAC segmentation mask","image","segmentation","h0mini2025_eva_cls_token","dice","higher","0.642","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=H0-mini|column=BACH","H0-mini","h0-mini","eva","eva.h0mini2025.bach","eva.bach","bach","BACH EVA classification/segmentation","classification","BACH class label","image","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.774","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=H0-mini|column=CRC","H0-mini","h0-mini","eva","eva.h0mini2025.crc","eva.crc","crc","CRC EVA classification/segmentation","classification","CRC class label","image","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.961","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
